Reported_date,Case
2020-06-01,29
2020-06-02,28
2020-06-03,31
2020-06-04,36
2020-06-05,29
2020-06-06,19
2020-06-07,17
2020-06-08,16
2020-06-09,30
2020-06-10,19
2020-06-11,16
2020-06-12,20
2020-06-13,28
2020-06-14,24
2020-06-15,16
2020-06-16,16
2020-06-17,21
2020-06-18,23
2020-06-19,28
2020-06-20,14
2020-06-21,19
2020-06-22,20
2020-06-23,18
2020-06-24,13
2020-06-25,9
2020-06-26,22
2020-06-27,18
2020-06-28,18
2020-06-29,16
2020-06-30,19
2020-07-01,20
2020-07-02,18
2020-07-03,17
2020-07-04,14
2020-07-05,13
2020-07-06,14
2020-07-07,9
2020-07-08,22
2020-07-09,21
2020-07-10,16
2020-07-11,17
2020-07-12,6
2020-07-13,11
2020-07-14,10
2020-07-15,13
2020-07-16,22
2020-07-17,29
2020-07-18,14
2020-07-19,23
2020-07-20,21
2020-07-21,15
2020-07-22,18
2020-07-23,43
2020-07-24,23
2020-07-25,20
2020-07-26,22
2020-07-27,21
2020-07-28,20
2020-07-29,21
2020-07-30,20
2020-07-31,17
2020-08-01,22
2020-08-02,9
2020-08-03,24
2020-08-04,15
2020-08-05,13
2020-08-06,14
2020-08-07,19
2020-08-08,12
2020-08-09,16
2020-08-10,6
2020-08-11,17
2020-08-12,11
2020-08-13,24
2020-08-14,14
2020-08-15,14
2020-08-16,14
2020-08-17,18
2020-08-18,16
2020-08-19,18
2020-08-20,11
2020-08-21,13
2020-08-22,13
2020-08-23,19
2020-08-24,21
2020-08-25,26
2020-08-26,21
2020-08-27,22
2020-08-28,34
2020-08-29,18
2020-08-30,15
2020-08-31,20
2020-09-01,22
2020-09-02,31
2020-09-03,22
2020-09-04,26
2020-09-05,21
2020-09-06,35
2020-09-07,23
2020-09-08,24
2020-09-09,47
2020-09-10,39
2020-09-11,27
2020-09-12,33
2020-09-13,23
2020-09-14,27
2020-09-15,50
2020-09-16,68
2020-09-17,77
2020-09-18,62
2020-09-19,66
2020-09-20,61
2020-09-21,80
2020-09-22,70
2020-09-23,61
2020-09-24,71
2020-09-25,94
2020-09-26,80
2020-09-27,76
2020-09-28,83
2020-09-29,113
2020-09-30,96
2020-10-01,108
2020-10-02,98
2020-10-03,79
2020-10-04,84
2020-10-05,86
2020-10-06,112
2020-10-07,113
2020-10-08,125
2020-10-09,121
2020-10-10,107
2020-10-11,100
2020-10-12,90
2020-10-13,143
2020-10-14,122
2020-10-15,100
2020-10-16,93
2020-10-17,97
2020-10-18,126
2020-10-19,89
2020-10-20,135
2020-10-21,118
2020-10-22,133
2020-10-23,160
2020-10-24,139
2020-10-25,125
2020-10-26,123
2020-10-27,141
2020-10-28,99
2020-10-29,135
2020-10-30,148
2020-10-31,130
2020-11-01,168
2020-11-02,164
2020-11-03,147
2020-11-04,144
2020-11-05,191
2020-11-06,189
2020-11-07,147
2020-11-08,212
2020-11-09,217
2020-11-10,234
2020-11-11,220
2020-11-12,235
2020-11-13,211
2020-11-14,180
2020-11-15,200
2020-11-16,218
2020-11-17,162
2020-11-18,243
2020-11-19,180
2020-11-20,302
2020-11-21,195
2020-11-22,195
2020-11-23,192
2020-11-24,169
2020-11-25,221
2020-11-26,98
